Year,Location,Adults 19-25,Adults 26-34,Adults 35-54,Adults 55-64,Sum
2014,Georgia,923700,1180500,2723600,1162300,5990100
2014,Hawaii,116600,170100,344600,178500,809800
2014,Idaho,149600,182500,393200,198900,924200
2014,Illinois,1170100,1557900,3418400,1609800,7756200
2014,Indiana,593700,738200,1696100,831600,3859600
2014,Iowa,271000,349100,766600,401900,1788600
2014,Kansas,268100,335200,704100,358800,1666200
2014,Kentucky,387100,484100,1155200,573200,2599600
2014,Louisiana,441200,570000,1153600,578400,2743200
2014,Maine,102300,131500,354400,206600,794800
2014,Maryland,515800,719900,1628900,762500,3627100
2014,Massachusetts,597300,802700,1813900,877500,4091400
2014,Michigan,929600,1050300,2569200,1356200,5905300
2014,Minnesota,462200,678600,1416600,710400,3267800
2014,Mississippi,269800,323400,749000,368200,1710400
2014,Missouri,534800,703000,1530000,782700,3550500
2014,Montana,95200,110000,243000,149600,597800
2014,Nebraska,161900,223200,459800,233500,1078400
2014,Nevada,259200,351300,759100,342200,1711800
2014,New Hampshire,109400,132000,368000,196200,805600
2014,New Jersey,746900,1002000,2498000,1148200,5395100
2014,New Mexico,206800,233900,496900,270500,1208100
2014,New York,1828500,2487400,5265900,2478800,12060600
2014,North Carolina,872400,1097900,2640000,1232200,5842500
2014,North Dakota,83300,94700,168300,92200,438500
2014,Ohio,997400,1284600,2983500,1559200,6824700
2014,Oklahoma,361900,456000,947200,465100,2230200
2014,Oregon,340100,487200,1018900,538600,2384800
2014,Pennsylvania,1072200,1432100,3272400,1759700,7536400
2014,Rhode Island,96200,120400,275700,139900,632200
2014,South Carolina,423600,532700,1227900,626400,2810600
2014,South Dakota,77700,96500,200900,110100,485200
2014,Tennessee,593800,731500,1709900,839900,3875100
2014,Texas,2584900,3377300,7000600,2927300,15890100
2014,Utah,311100,391100,685900,277100,1665200
2014,Vermont,51100,64000,162600,95700,373400
2014,Virginia,733100,975000,2212600,1031700,4952400
2014,Washington,630600,881700,1845500,906500,4264300
2014,West Virginia,156300,189900,470100,266300,1082600
2014,Wisconsin,514100,644000,1493500,770200,3421800
2014,Wyoming,52600,73400,143900,81100,351000
2014,Puerto Rico,366000,373900,911700,432100,2083700
2016,Alabama,427300,541700,1220600,636800,2826400
2016,Alaska,72600,101200,179500,94000,447300
2016,Arizona,636200,796100,1664400,820100,3916800
2016,Arkansas,262600,328000,727600,373600,1691800
2016,California,3747200,5122900,10263600,4640800,23774500
2016,Colorado,502300,726700,1446200,691300,3366500
2016,Connecticut,305100,380800,942200,501300,2129400
2016,Delaware,74500,112000,233900,130700,551100
2016,District of Columbia,65800,135800,173900,69000,444500
2016,Florida,1706000,2277100,5140000,2699100,11822200
